Account_Id__c,Account_Name__c,Segment__c,Region__c,Plan_Tier__c,MRR__c,Health_Score__c,Risk_Band__c,Main_Risk_Driver__c,Recommended_Action__c,Customer_Success_Manager__c,Priority_Rank__c
acct_036,Atlas Bistro,Mid-Market,North America,Pro,4696.0,31.8,Critical,Payment failure,Schedule CSM risk review and adoption plan,Casey Nguyen,1
acct_096,Foundry Food Hall,Mid-Market,North America,Pro,5056.0,32.1,Critical,Payment failure,Schedule CSM risk review and adoption plan,Jordan Ellis,2
acct_086,Golden Restaurant Co,Mid-Market,Asia Pacific,Pro,3646.0,32.2,Critical,Payment failure,Schedule CSM risk review and adoption plan,Drew Martinez,3
acct_066,Maple Cafe Group,Mid-Market,Asia Pacific,Pro,3526.0,32.2,Critical,Payment failure,Schedule CSM risk review and adoption plan,Riley Patel,4
acct_026,Bluebird Table,Mid-Market,Asia Pacific,Pro,5986.0,32.3,Critical,Payment failure,Schedule CSM risk review and adoption plan,Riley Patel,5
acct_056,Orchard Hospitality,Mid-Market,North America,Pro,4816.0,32.3,Critical,Payment failure,Schedule CSM risk review and adoption plan,Jordan Ellis,6
acct_076,Juniper Dining Collective,Mid-Market,North America,Pro,4936.0,32.7,Critical,Payment failure,Schedule CSM risk review and adoption plan,Casey Nguyen,7
acct_046,Amber Hospitality,Mid-Market,Asia Pacific,Pro,3406.0,32.8,Critical,Payment failure,Schedule CSM risk review and adoption plan,Drew Martinez,8
acct_016,Canyon Kitchen,Mid-Market,North America,Pro,4576.0,32.9,Critical,Payment failure,Schedule CSM risk review and adoption plan,Jordan Ellis,9
acct_006,Metro Noodle House,Mid-Market,Asia Pacific,Pro,3900.0,35.9,Critical,Payment failure,Schedule CSM risk review and adoption plan,Taylor Kim,10
acct_003,Green Fork Kitchen,SMB,Europe,Starter,1200.0,40.6,At Risk,Payment failure,Schedule CSM risk review and adoption plan,Riley Patel,11
acct_010,Luna Bakery Collective,SMB,Europe,Starter,1000.0,40.8,At Risk,Payment failure,Schedule CSM risk review and adoption plan,Riley Patel,12
acct_072,Clover Dining Collective,Mid-Market,North America,Pro,5992.0,58.3,At Risk,Low product adoption,Schedule CSM risk review and adoption plan,Jordan Ellis,13
acct_042,Golden Bistro,Mid-Market,Asia Pacific,Pro,4462.0,58.4,At Risk,Low product adoption,Schedule CSM risk review and adoption plan,Riley Patel,14
acct_099,Maple Food Hall,SMB,Europe,Starter,913.0,58.4,At Risk,Low product adoption,Schedule CSM risk review and adoption plan,Samira Khan,15
acct_039,Clover Bistro,SMB,Europe,Starter,1693.0,58.5,At Risk,Low product adoption,Schedule CSM risk review and adoption plan,Taylor Kim,16
acct_069,Atlas Dining Collective,SMB,Latin America,Starter,1303.0,58.5,At Risk,Low product adoption,Schedule CSM risk review and adoption plan,Avery Morgan,17
acct_029,Ember Table,SMB,Latin America,Starter,1223.0,58.6,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Avery Morgan,18
acct_092,Bluebird Food Hall,Mid-Market,North America,Pro,3412.0,58.7,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Casey Nguyen,19
acct_062,Ember Cafe Group,Mid-Market,Asia Pacific,Pro,4582.0,58.8,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Drew Martinez,20
acct_052,Foundry Hospitality,Mid-Market,North America,Pro,5872.0,58.9,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Casey Nguyen,21
acct_032,Juniper Table,Mid-Market,North America,Pro,5752.0,58.9,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Jordan Ellis,22
acct_089,Orchard Restaurant Co,SMB,Latin America,Starter,1343.0,58.9,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Morgan Lee,23
acct_022,Maple Kitchen,Mid-Market,Asia Pacific,Pro,4342.0,59.0,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Drew Martinez,24
acct_059,Bluebird Cafe Group,SMB,Europe,Starter,1733.0,59.0,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Samira Khan,25
acct_079,Amber Restaurant Co,SMB,Europe,Starter,873.0,59.0,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Taylor Kim,26
acct_019,Foundry Kitchen,SMB,Europe,Starter,1653.0,59.1,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Samira Khan,27
acct_049,Canyon Hospitality,SMB,Latin America,Starter,1263.0,59.1,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Morgan Lee,28
acct_082,Canyon Restaurant Co,Mid-Market,Asia Pacific,Pro,4702.0,59.3,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Riley Patel,29
acct_005,Sunrise Taqueria,SMB,Latin America,Starter,900.0,69.4,Watch,Healthy usage and engagement,Continue regular success cadence,Casey Nguyen,30
acct_012,Pacific Poke Labs,Mid-Market,Asia Pacific,Pro,3600.0,73.7,Watch,Healthy usage and engagement,Continue regular success cadence,Taylor Kim,31
acct_075,Golden Dining Collective,Enterprise,Europe,Enterprise,17625.0,76.3,Watch,Healthy usage and engagement,Continue regular success cadence,Samira Khan,32
acct_045,Orchard Bistro,Enterprise,Latin America,Enterprise,21915.0,76.4,Watch,Healthy usage and engagement,Continue regular success cadence,Avery Morgan,33
acct_018,Ember Kitchen,SMB,Asia Pacific,Starter,1516.0,76.4,Watch,Healthy usage and engagement,Continue regular success cadence,Riley Patel,34
acct_015,Bluebird Kitchen,Enterprise,Europe,Enterprise,16305.0,76.5,Watch,Healthy usage and engagement,Continue regular success cadence,Taylor Kim,35
acct_081,Bluebird Restaurant Co,Mid-Market,Latin America,Pro,4291.0,76.5,Watch,Healthy usage and engagement,Continue regular success cadence,Morgan Lee,36
