Account_Id__c,Account_Name__c,Restaurant_Type__c,Region__c,Segment__c,Plan_Tier__c,Status__c,Current_MRR__c,MRR__c,Avg_Active_Days__c,Orders_Processed__c,Support_Calls__c,Escalated_Calls__c,Failed_Payments__c,Open_Pipeline_Amount__c,Weighted_Pipeline_Amount__c,Health_Score__c,Risk_Band__c,Main_Risk_Driver__c,Recommended_Action__c,Customer_Success_Manager__c
acct_085,Foundry Restaurant Co,Fast Casual,Latin America,Enterprise,Enterprise,paused,22795.0,22795.0,18.5,27347,0,0,0,0,0.0,77.3,Watch,Healthy usage and engagement,Continue regular success cadence,Avery Morgan
acct_065,Juniper Cafe Group,Fast Casual,Latin America,Enterprise,Enterprise,active,22355.0,22355.0,18.0,26907,0,0,0,0,0.0,76.9,Watch,Healthy usage and engagement,Continue regular success cadence,Morgan Lee
acct_045,Orchard Bistro,Fast Casual,Latin America,Enterprise,Enterprise,active,21915.0,21915.0,17.5,25867,0,0,0,0,0.0,76.4,Watch,Healthy usage and engagement,Continue regular success cadence,Avery Morgan
acct_025,Atlas Table,Fast Casual,Latin America,Enterprise,Enterprise,active,21475.0,21475.0,18.5,26987,0,0,0,0,0.0,77.0,Watch,Healthy usage and engagement,Continue regular success cadence,Morgan Lee
acct_090,Amber Food Hall,Fast Casual,Asia Pacific,Enterprise,Enterprise,active,20430.0,20430.0,24.5,35917,0,0,0,224500,152660.0,87.9,Healthy,Healthy usage and engagement,Advance expansion opportunity,Riley Patel
acct_070,Bluebird Dining Collective,Fast Casual,Asia Pacific,Enterprise,Enterprise,active,19990.0,19990.0,25.5,37037,0,0,0,220000,149600.0,88.5,Healthy,Healthy usage and engagement,Advance expansion opportunity,Drew Martinez
acct_050,Clover Hospitality,Fast Casual,Asia Pacific,Enterprise,Enterprise,active,19550.0,19550.0,25.0,36597,0,0,0,215000,146200.0,88.1,Healthy,Healthy usage and engagement,Advance expansion opportunity,Riley Patel
acct_030,Foundry Table,Fast Casual,Asia Pacific,Enterprise,Enterprise,active,19110.0,19110.0,24.5,36157,0,0,0,210000,142800.0,88.1,Healthy,Healthy usage and engagement,Advance expansion opportunity,Drew Martinez
acct_008,Prime Plate Hospitality,Fine Dining,North America,Enterprise,Enterprise,active,18500.0,18500.0,29.5,49850,0,0,0,86000,70520.0,86.8,Healthy,Healthy usage and engagement,Advance expansion opportunity,Avery Morgan
acct_095,Ember Food Hall,Fast Casual,Europe,Enterprise,Enterprise,active,18065.0,18065.0,18.0,26487,0,0,0,0,0.0,76.8,Watch,Healthy usage and engagement,Continue regular success cadence,Taylor Kim
acct_075,Golden Dining Collective,Fast Casual,Europe,Enterprise,Enterprise,active,17625.0,17625.0,17.5,26047,0,0,0,0,0.0,76.3,Watch,Healthy usage and engagement,Continue regular success cadence,Samira Khan
acct_055,Maple Hospitality,Fast Casual,Europe,Enterprise,Enterprise,active,17185.0,17185.0,18.5,27167,0,0,0,0,0.0,77.4,Watch,Healthy usage and engagement,Continue regular success cadence,Taylor Kim
acct_035,Amber Bistro,Fast Casual,Europe,Enterprise,Enterprise,active,16745.0,16745.0,18.0,26127,0,0,0,0,0.0,76.9,Watch,Healthy usage and engagement,Continue regular success cadence,Samira Khan
acct_015,Bluebird Kitchen,Fast Casual,Europe,Enterprise,Enterprise,active,16305.0,16305.0,17.5,25687,0,0,0,0,0.0,76.5,Watch,Healthy usage and engagement,Continue regular success cadence,Taylor Kim
acct_011,Cedar Table Group,Casual Dining,North America,Enterprise,Enterprise,active,16200.0,16200.0,22.0,31900,0,0,0,190000,129200.00000000001,81.1,Healthy,CSM risk note,Advance expansion opportunity,Avery Morgan
acct_100,Orchard Food Hall,Fast Casual,North America,Enterprise,Enterprise,active,15700.0,15700.0,25.5,37817,0,0,0,172500,117300.00000000001,88.5,Healthy,Healthy usage and engagement,Advance expansion opportunity,Casey Nguyen
acct_080,Atlas Restaurant Co,Fast Casual,North America,Enterprise,Enterprise,active,15260.0,15260.0,25.0,36177,0,0,0,168000,114240.00000000001,88.5,Healthy,Healthy usage and engagement,Advance expansion opportunity,Jordan Ellis
acct_060,Canyon Cafe Group,Fast Casual,North America,Enterprise,Enterprise,active,14820.0,14820.0,24.5,35737,0,0,0,163000,110840.00000000001,88.0,Healthy,Healthy usage and engagement,Advance expansion opportunity,Casey Nguyen
acct_040,Ember Bistro,Fast Casual,North America,Enterprise,Enterprise,active,14380.0,14380.0,25.5,37457,0,0,0,158000,107440.00000000001,88.6,Healthy,Healthy usage and engagement,Advance expansion opportunity,Jordan Ellis
acct_002,Harbor Sushi Group,Fine Dining,North America,Enterprise,Enterprise,active,14200.0,14200.0,27.5,38150,0,0,0,165000,118800.0,86.8,Healthy,Healthy usage and engagement,Advance expansion opportunity,Avery Morgan
acct_020,Golden Kitchen,Fast Casual,North America,Enterprise,Enterprise,active,13940.0,13940.0,25.0,37017,0,0,0,153500,104380.00000000001,88.2,Healthy,Healthy usage and engagement,Advance expansion opportunity,Casey Nguyen
acct_072,Clover Dining Collective,Casual Dining,North America,Mid-Market,Pro,active,5992.0,5992.0,9.5,5469,0,0,0,0,0.0,58.3,At Risk,Low product adoption,Schedule CSM risk review and adoption plan,Jordan Ellis
acct_026,Bluebird Table,Fine Dining,Asia Pacific,Mid-Market,Pro,active,5986.0,5986.0,4.0,2533,0,0,1,0,0.0,32.3,Critical,Payment failure,Schedule CSM risk review and adoption plan,Riley Patel
acct_052,Foundry Hospitality,Casual Dining,North America,Mid-Market,Pro,active,5872.0,5872.0,10.5,6269,0,0,0,0,0.0,58.9,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Casey Nguyen
acct_032,Juniper Table,Casual Dining,North America,Mid-Market,Pro,active,5752.0,5752.0,10.0,6289,0,0,0,0,0.0,58.9,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Jordan Ellis
acct_091,Atlas Food Hall,Fine Dining,Europe,Mid-Market,Pro,active,5701.0,5701.0,18.5,9763,0,0,0,0,0.0,77.4,Watch,Healthy usage and engagement,Continue regular success cadence,Samira Khan
acct_071,Canyon Dining Collective,Fine Dining,Europe,Mid-Market,Pro,active,5581.0,5581.0,18.0,9783,0,0,0,0,0.0,77.0,Watch,Healthy usage and engagement,Continue regular success cadence,Taylor Kim
acct_097,Golden Food Hall,Casual Dining,Latin America,Mid-Market,Pro,active,5467.0,5467.0,25.5,14039,0,0,0,43500,29580.000000000004,88.6,Healthy,Healthy usage and engagement,Advance expansion opportunity,Morgan Lee
acct_051,Ember Hospitality,Fine Dining,Europe,Mid-Market,Pro,paused,5461.0,5461.0,17.5,9803,0,0,0,0,0.0,76.6,Watch,Healthy usage and engagement,Continue regular success cadence,Samira Khan
acct_077,Maple Dining Collective,Casual Dining,Latin America,Mid-Market,Pro,active,5347.0,5347.0,25.0,14059,0,0,0,43000,29240.000000000004,88.2,Healthy,Healthy usage and engagement,Advance expansion opportunity,Avery Morgan
acct_031,Golden Table,Fine Dining,Europe,Mid-Market,Pro,active,5341.0,5341.0,18.5,10603,0,0,0,0,0.0,77.2,Watch,Healthy usage and engagement,Continue regular success cadence,Taylor Kim
acct_057,Amber Cafe Group,Casual Dining,Latin America,Mid-Market,Pro,active,5227.0,5227.0,24.5,12879,0,0,0,42000,28560.000000000004,88.2,Healthy,Healthy usage and engagement,Advance expansion opportunity,Morgan Lee
acct_037,Bluebird Bistro,Casual Dining,Latin America,Mid-Market,Pro,active,5107.0,5107.0,25.5,13679,0,0,0,41000,27880.000000000004,88.8,Healthy,Healthy usage and engagement,Advance expansion opportunity,Avery Morgan
acct_096,Foundry Food Hall,Fine Dining,North America,Mid-Market,Pro,active,5056.0,5056.0,3.5,2493,0,0,1,0,0.0,32.1,Critical,Payment failure,Schedule CSM risk review and adoption plan,Jordan Ellis
acct_017,Clover Kitchen,Casual Dining,Latin America,Mid-Market,Pro,active,4987.0,4987.0,25.0,13699,0,0,0,40000,27200.000000000004,88.3,Healthy,Healthy usage and engagement,Advance expansion opportunity,Morgan Lee
acct_076,Juniper Dining Collective,Fine Dining,North America,Mid-Market,Pro,active,4936.0,4936.0,4.5,3293,0,0,1,0,0.0,32.7,Critical,Payment failure,Schedule CSM risk review and adoption plan,Casey Nguyen
acct_056,Orchard Hospitality,Fine Dining,North America,Mid-Market,Pro,active,4816.0,4816.0,4.0,2713,0,0,1,0,0.0,32.3,Critical,Payment failure,Schedule CSM risk review and adoption plan,Jordan Ellis
acct_082,Canyon Restaurant Co,Casual Dining,Asia Pacific,Mid-Market,Pro,active,4702.0,4702.0,10.5,5849,0,0,0,0,0.0,59.3,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Riley Patel
acct_009,Beacon Burger Co,Quick Service,North America,Mid-Market,Pro,active,4700.0,4700.0,22.0,8240,0,0,0,22000,13420.0,77.0,Watch,Healthy usage and engagement,Advance expansion opportunity,Jordan Ellis
acct_036,Atlas Bistro,Fine Dining,North America,Mid-Market,Pro,active,4696.0,4696.0,3.5,2133,0,0,1,0,0.0,31.8,Critical,Payment failure,Schedule CSM risk review and adoption plan,Casey Nguyen
acct_062,Ember Cafe Group,Casual Dining,Asia Pacific,Mid-Market,Pro,active,4582.0,4582.0,10.0,5869,0,0,0,0,0.0,58.8,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Drew Martinez
acct_016,Canyon Kitchen,Fine Dining,North America,Mid-Market,Pro,active,4576.0,4576.0,4.5,2933,0,0,1,0,0.0,32.9,Critical,Payment failure,Schedule CSM risk review and adoption plan,Jordan Ellis
